,id,date,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
5081,21937164,2022-07-14,00:05:59,0,-13.5476402,-71.8805191,0,33,SJ07
9591,21937544,2022-07-14,02:39:25,0,-13.5476267,-71.8805079,0,91,SJ07
36726,21943585,2022-07-14,06:09:46,0,-13.5475146,-71.8803496,11,100,SJ07
37106,21943611,2022-07-14,06:09:59,0,-13.5476606,-71.8795277,33,100,SJ07
37506,21943639,2022-07-14,06:10:16,0,-13.5477949,-71.8786531,20,97,SJ07
37819,21943660,2022-07-14,06:10:28,0,-13.5479665,-71.8776979,37,100,SJ07
38216,21943687,2022-07-14,06:10:40,0,-13.5480869,-71.8767851,26,92,SJ07
38543,21943709,2022-07-14,06:10:52,0,-13.5482109,-71.8758639,31,96,SJ07
39106,21943747,2022-07-14,06:11:09,0,-13.5483162,-71.8751074,23,97,SJ07
39500,21943773,2022-07-14,06:11:21,0,-13.5484679,-71.8741854,32,97,SJ07
39761,21943791,2022-07-14,06:11:34,0,-13.549127,-71.8739031,36,179,SJ07
40165,21943818,2022-07-14,06:11:46,0,-13.5502498,-71.8739918,24,197,SJ07
41952,21943939,2022-07-14,06:12:58,0,-13.5507484,-71.8735911,30,104,SJ07
42222,21943958,2022-07-14,06:13:10,0,-13.5510747,-71.8723612,46,103,SJ07
42585,21943980,2022-07-14,06:13:22,0,-13.5514604,-71.8707779,52,103,SJ07
42918,21944003,2022-07-14,06:13:35,0,-13.5516969,-71.8698258,31,104,SJ07
43327,21944031,2022-07-14,06:13:47,0,-13.5519813,-71.8685727,48,103,SJ07
43706,21944055,2022-07-14,06:14:00,0,-13.5522672,-71.8673653,17,102,SJ07
44246,21944092,2022-07-14,06:14:13,0,-13.5525529,-71.8662517,47,104,SJ07
44898,21944135,2022-07-14,06:14:27,0,-13.5528138,-71.8651695,23,101,SJ07
45375,21944167,2022-07-14,06:14:39,0,-13.5529491,-71.8642688,43,98,SJ07
45871,21944200,2022-07-14,06:14:51,0,-13.5532093,-71.8626991,53,99,SJ07
46242,21944225,2022-07-14,06:15:03,0,-13.5534211,-71.8614282,37,98,SJ07
46690,21944254,2022-07-14,06:15:15,0,-13.5536004,-71.8600795,49,98,SJ07
47180,21944284,2022-07-14,06:15:27,0,-13.554095,-71.85849,54,117,SJ07
47644,21944315,2022-07-14,06:15:39,0,-13.5547562,-71.8574658,22,125,SJ07
48098,21944341,2022-07-14,06:15:51,0,-13.5553191,-71.8566659,39,124,SJ07
48515,21944369,2022-07-14,06:16:08,0,-13.5557108,-71.8558178,11,74,SJ07
49435,21944429,2022-07-14,06:16:33,0,-13.555139,-71.8559356,10,335,SJ07
