,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id
0,22002863,2022-07-14 10:46:59,3,"(-13.5546398, -71.8562212)",0,32,SJ37
1,22003604,2022-07-14 10:50:18,3,"(-13.5545592, -71.8560974)",1,110,SJ37
2,22004203,2022-07-14 10:53:06,3,"(-13.5545611, -71.8560971)",2,213,SJ37
3,22004693,2022-07-14 10:55:18,3,"(-13.554613, -71.8561232)",2,200,SJ37
4,22005120,2022-07-14 10:57:22,3,"(-13.55472, -71.8561798)",8,145,SJ37
5,22005243,2022-07-14 10:57:54,3,"(-13.5553197, -71.8557986)",13,159,SJ37
6,22005336,2022-07-14 10:58:18,3,"(-13.555696, -71.8560516)",12,291,SJ37
7,22005383,2022-07-14 10:58:32,3,"(-13.5552826, -71.856696)",23,304,SJ37
8,22005424,2022-07-14 10:58:45,3,"(-13.5547585, -71.8573831)",18,315,SJ37
9,22005514,2022-07-14 10:59:06,3,"(-13.5542795, -71.8579512)",30,302,SJ37
10,22005559,2022-07-14 10:59:18,3,"(-13.5538736, -71.8589356)",36,287,SJ37
11,22005597,2022-07-14 10:59:30,3,"(-13.5535862, -71.8603148)",48,279,SJ37
12,22005646,2022-07-14 10:59:44,3,"(-13.553365, -71.8614833)",15,278,SJ37
13,22005702,2022-07-14 10:59:57,3,"(-13.55317, -71.8622072)",27,277,SJ37
14,22005752,2022-07-14 11:00:09,3,"(-13.5530752, -71.8632094)",34,275,SJ37
15,22005785,2022-07-14 11:00:21,3,"(-13.5529427, -71.8642598)",37,281,SJ37
16,22005825,2022-07-14 11:00:34,3,"(-13.5527002, -71.8652649)",13,282,SJ37
17,22005909,2022-07-14 11:00:52,3,"(-13.5526439, -71.866085)",25,278,SJ37
18,22005950,2022-07-14 11:01:04,3,"(-13.5523349, -71.8670814)",30,282,SJ37
19,22006035,2022-07-14 11:01:26,3,"(-13.552209, -71.8678124)",11,293,SJ37
20,22006082,2022-07-14 11:01:41,3,"(-13.5519612, -71.8685244)",26,281,SJ37
21,22006133,2022-07-14 11:01:53,3,"(-13.5518399, -71.8693434)",32,279,SJ37
22,22006172,2022-07-14 11:02:05,3,"(-13.5516078, -71.8703129)",22,281,SJ37
23,22006222,2022-07-14 11:02:20,3,"(-13.5514517, -71.8711266)",33,282,SJ37
24,22006264,2022-07-14 11:02:32,3,"(-13.5511518, -71.8722512)",43,281,SJ37
25,22006299,2022-07-14 11:02:44,3,"(-13.5508793, -71.873399)",30,286,SJ37
26,22006422,2022-07-14 11:03:21,3,"(-13.5507549, -71.8740721)",17,285,SJ37
27,22006469,2022-07-14 11:03:33,3,"(-13.5504633, -71.8748593)",30,285,SJ37
28,22006522,2022-07-14 11:03:45,3,"(-13.5501915, -71.8760312)",40,284,SJ37
29,22006555,2022-07-14 11:03:57,3,"(-13.5497129, -71.8773893)",47,289,SJ37
30,22006598,2022-07-14 11:04:09,3,"(-13.549334, -71.8786456)",31,284,SJ37
31,22006722,2022-07-14 11:04:39,3,"(-13.5492038, -71.879189)",21,283,SJ37
32,22006744,2022-07-14 11:04:51,3,"(-13.5490828, -71.8799462)",21,287,SJ37
33,22006838,2022-07-14 11:05:17,3,"(-13.5487465, -71.8806359)",26,282,SJ37
34,22006905,2022-07-14 11:05:32,3,"(-13.5486094, -71.8814033)",18,283,SJ37
35,22006922,2022-07-14 11:05:44,3,"(-13.5484512, -71.8821193)",20,285,SJ37
36,22007009,2022-07-14 11:06:02,3,"(-13.5482348, -71.8827859)",24,285,SJ37
37,22007059,2022-07-14 11:06:14,3,"(-13.5479498, -71.8834907)",23,285,SJ37
38,22007068,2022-07-14 11:06:26,3,"(-13.5478119, -71.884235)",21,268,SJ37
39,22007129,2022-07-14 11:06:39,3,"(-13.547746, -71.884958)",15,287,SJ37
40,22007218,2022-07-14 11:07:06,3,"(-13.5478531, -71.8855689)",7,208,SJ37
41,22007289,2022-07-14 11:07:27,3,"(-13.5474395, -71.8861272)",22,298,SJ37
42,22007342,2022-07-14 11:07:39,3,"(-13.5471443, -71.8869844)",28,286,SJ37
43,22007385,2022-07-14 11:07:51,3,"(-13.5469353, -71.8877629)",21,280,SJ37
44,22007461,2022-07-14 11:08:15,3,"(-13.5462762, -71.8879818)",17,14,SJ37
