,id,date,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
2145,22037298,2022-07-14,13:19:48,3,-13.5227198,-71.9720276,27,174,SJ07
2243,22041068,2022-07-14,13:36:05,3,-13.5280841,-71.9835173,23,269,SJ07
2354,22033555,2022-07-14,13:03:11,3,-13.5285575,-71.9379803,20,291,SJ07
2406,22029792,2022-07-14,12:46:27,3,-13.5464292,-71.8892324,5,280,SJ07
2594,22037345,2022-07-14,13:20:00,3,-13.5236492,-71.9719651,24,176,SJ07
2689,22044847,2022-07-14,13:53:05,3,-13.5513934,-71.9879273,8,75,SJ07
2829,22041128,2022-07-14,13:36:44,3,-13.528475,-71.9836992,17,120,SJ07
2964,22033617,2022-07-14,13:03:30,3,-13.5283644,-71.9387207,28,284,SJ07
3320,22044909,2022-07-14,13:53:19,3,-13.550796,-71.9875533,27,21,SJ07
3330,22041177,2022-07-14,13:36:56,3,-13.5291831,-71.9831921,30,162,SJ07
3350,22037419,2022-07-14,13:20:23,3,-13.5242369,-71.972239,18,270,SJ07
3434,22029895,2022-07-14,12:46:54,3,-13.5462633,-71.8899769,26,288,SJ07
3560,22033675,2022-07-14,13:03:42,3,-13.5280811,-71.9396676,23,288,SJ07
3874,22044964,2022-07-14,13:53:31,3,-13.5502666,-71.9868919,22,47,SJ07
4213,22041262,2022-07-14,13:37:23,3,-13.529897,-71.9830332,18,165,SJ07
4229,22037503,2022-07-14,13:20:44,3,-13.5245557,-71.9726163,5,167,SJ07
4502,22045020,2022-07-14,13:53:46,3,-13.550665,-71.9867266,17,202,SJ07
4672,22030010,2022-07-14,12:47:22,3,-13.5459612,-71.8907028,25,287,SJ07
5188,22041347,2022-07-14,13:37:41,3,-13.5305973,-71.9828463,18,154,SJ07
5544,22037619,2022-07-14,13:21:14,3,-13.5253292,-71.9723655,25,153,SJ07
5873,22045140,2022-07-14,13:54:16,3,-13.5513379,-71.9869683,21,196,SJ07
6075,22041423,2022-07-14,13:38:08,3,-13.5308856,-71.9823632,25,64,SJ07
6203,22033911,2022-07-14,13:04:48,3,-13.5279499,-71.9405313,37,280,SJ07
6371,22045182,2022-07-14,13:54:28,3,-13.551915,-71.9874131,27,240,SJ07
6740,22033957,2022-07-14,13:05:00,3,-13.5277952,-71.941778,37,278,SJ07
6903,22045227,2022-07-14,13:54:40,3,-13.5521357,-71.9882455,32,217,SJ07
6928,22037736,2022-07-14,13:21:45,3,-13.5260082,-71.9719691,21,150,SJ07
7194,22033994,2022-07-14,13:05:12,3,-13.5276124,-71.9427653,20,283,SJ07
7780,22037806,2022-07-14,13:22:04,3,-13.5266379,-71.9715894,18,149,SJ07
7905,22045309,2022-07-14,13:55:02,3,-13.552838,-71.9885961,21,242,SJ07
8316,22041610,2022-07-14,13:38:55,3,-13.5306465,-71.981501,20,74,SJ07
8423,22045352,2022-07-14,13:55:14,3,-13.5526204,-71.9892707,27,333,SJ07
8639,22030346,2022-07-14,12:48:40,3,-13.54489,-71.8945132,26,287,SJ07
8640,22037878,2022-07-14,13:22:21,3,-13.5266933,-71.9720729,23,307,SJ07
8743,22041646,2022-07-14,13:39:07,3,-13.5303835,-71.9805535,35,72,SJ07
8832,22030362,2022-07-14,12:48:52,3,-13.5444109,-71.8955471,38,298,SJ07
8884,22045391,2022-07-14,13:55:26,3,-13.552362,-71.9898267,30,228,SJ07
9103,22037915,2022-07-14,13:22:33,3,-13.5262421,-71.9728903,34,288,SJ07
9206,22034161,2022-07-14,13:06:00,3,-13.5274197,-71.9446695,36,276,SJ07
9361,22041699,2022-07-14,13:39:21,3,-13.5302956,-71.9796454,11,146,SJ07
9513,22045445,2022-07-14,13:55:38,3,-13.5532057,-71.9902718,30,206,SJ07
9747,22037971,2022-07-14,13:22:49,3,-13.5260019,-71.9736386,23,287,SJ07
10072,22045490,2022-07-14,13:55:51,3,-13.5539245,-71.9905838,10,215,SJ07
10226,22038010,2022-07-14,13:23:01,3,-13.525762,-71.9744827,33,286,SJ07
10329,22041779,2022-07-14,13:39:36,3,-13.5309866,-71.9798365,22,194,SJ07
10339,22034256,2022-07-14,13:06:26,3,-13.5272979,-71.9455746,18,270,SJ07
10375,22030491,2022-07-14,12:49:18,3,-13.5439973,-71.8962576,30,303,SJ07
