,id,date_time,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
0,21944991,2022-07-14 06:20:19,06:20:19,1,-13.5546226,-71.8563921,7,346,SJ07
1,21945043,2022-07-14 06:20:43,06:20:43,1,-13.5549784,-71.8559785,15,158,SJ07
2,21945096,2022-07-14 06:21:07,06:21:07,1,-13.555744,-71.8559083,12,263,SJ07
3,21945141,2022-07-14 06:21:24,06:21:24,1,-13.5553553,-71.8566123,26,303,SJ07
4,21945179,2022-07-14 06:21:36,06:21:36,1,-13.5547807,-71.8574136,35,305,SJ07
5,21945249,2022-07-14 06:22:05,06:22:05,1,-13.5542423,-71.858218,17,300,SJ07
6,21945284,2022-07-14 06:22:18,06:22:18,1,-13.5538897,-71.8590048,31,292,SJ07
7,21945318,2022-07-14 06:22:30,06:22:30,1,-13.5536008,-71.8600263,37,281,SJ07
8,21945350,2022-07-14 06:22:42,06:22:42,1,-13.5534221,-71.8612199,29,280,SJ07
9,21945386,2022-07-14 06:22:56,06:22:56,1,-13.5533138,-71.8619099,20,274,SJ07
10,21945422,2022-07-14 06:23:08,06:23:08,1,-13.5531897,-71.8627789,32,278,SJ07
11,21945448,2022-07-14 06:23:20,06:23:20,1,-13.5530517,-71.863896,38,277,SJ07
12,21945480,2022-07-14 06:23:32,06:23:32,1,-13.5528475,-71.8650259,29,280,SJ07
13,21945544,2022-07-14 06:23:55,06:23:55,1,-13.5526663,-71.8658178,18,281,SJ07
14,21945578,2022-07-14 06:24:07,06:24:07,1,-13.5524944,-71.8665557,27,283,SJ07
15,21945647,2022-07-14 06:24:31,06:24:31,1,-13.5522946,-71.8673761,15,278,SJ07
16,21945707,2022-07-14 06:24:47,06:24:47,1,-13.5520775,-71.8681984,29,284,SJ07
17,21945737,2022-07-14 06:24:59,06:24:59,1,-13.5518366,-71.8692004,35,283,SJ07
18,21945772,2022-07-14 06:25:11,06:25:11,1,-13.5515776,-71.8702452,17,286,SJ07
19,21945804,2022-07-14 06:25:28,06:25:28,1,-13.5513716,-71.8710936,34,283,SJ07
20,21945839,2022-07-14 06:25:40,06:25:40,1,-13.5511167,-71.8722617,42,281,SJ07
21,21945874,2022-07-14 06:25:52,06:25:52,1,-13.5507397,-71.8735908,43,285,SJ07
22,21945932,2022-07-14 06:26:19,06:26:19,1,-13.5505096,-71.8744038,26,284,SJ07
23,21945976,2022-07-14 06:26:31,06:26:31,1,-13.5502355,-71.8754128,38,287,SJ07
24,21946037,2022-07-14 06:26:51,06:26:51,1,-13.5499653,-71.8763163,18,284,SJ07
25,21946079,2022-07-14 06:27:03,06:27:03,1,-13.5497171,-71.8771709,32,286,SJ07
26,21946107,2022-07-14 06:27:21,06:27:21,1,-13.5494917,-71.8779404,23,285,SJ07
27,21946142,2022-07-14 06:27:33,06:27:33,1,-13.5492052,-71.8787996,28,289,SJ07
28,21946240,2022-07-14 06:28:07,06:28:07,1,-13.549013,-71.8795813,32,283,SJ07
29,21946306,2022-07-14 06:28:32,06:28:32,1,-13.5487861,-71.8803636,26,282,SJ07
30,21946338,2022-07-14 06:28:44,06:28:44,1,-13.5485635,-71.8812462,28,283,SJ07
31,21946377,2022-07-14 06:28:56,06:28:56,1,-13.5482246,-71.8824838,47,285,SJ07
32,21946414,2022-07-14 06:29:08,06:29:08,1,-13.547809,-71.8839344,38,289,SJ07
33,21946474,2022-07-14 06:29:32,06:29:32,1,-13.5476274,-71.884696,30,283,SJ07
34,21946535,2022-07-14 06:29:51,06:29:51,1,-13.5473925,-71.8855322,29,285,SJ07
35,21946576,2022-07-14 06:30:03,06:30:03,1,-13.5470735,-71.88672,37,287,SJ07
36,21946627,2022-07-14 06:30:24,06:30:24,1,-13.5468785,-71.8875304,33,282,SJ07
37,21946683,2022-07-14 06:30:39,06:30:39,1,-13.5464067,-71.8878599,24,19,SJ07
38,21946710,2022-07-14 06:30:51,06:30:51,1,-13.5455239,-71.8875864,35,18,SJ07
39,21946746,2022-07-14 06:31:03,06:31:03,1,-13.5445001,-71.8873021,23,10,SJ07
40,21946848,2022-07-14 06:31:43,06:31:43,1,-13.5442233,-71.8879618,20,283,SJ07
41,21946919,2022-07-14 06:32:05,06:32:05,1,-13.5447178,-71.88833,8,191,SJ07
42,21946997,2022-07-14 06:32:30,06:32:30,1,-13.545599,-71.8886121,44,198,SJ07
43,21947037,2022-07-14 06:32:44,06:32:44,1,-13.5464998,-71.8890522,16,280,SJ07
44,21947105,2022-07-14 06:33:07,06:33:07,1,-13.5462985,-71.8897338,29,285,SJ07
45,21947175,2022-07-14 06:33:34,06:33:34,1,-13.5459605,-71.8905624,22,286,SJ07
46,21947258,2022-07-14 06:33:55,06:33:55,1,-13.5457303,-71.8914458,19,279,SJ07
47,21947295,2022-07-14 06:34:07,06:34:07,1,-13.5454938,-71.8924805,42,284,SJ07
48,21947358,2022-07-14 06:34:19,06:34:19,1,-13.5451101,-71.8939663,55,287,SJ07
49,21947362,2022-07-14 06:34:31,06:34:31,1,-13.5445683,-71.8952521,20,298,SJ07
50,21947468,2022-07-14 06:35:05,06:35:05,1,-13.5441952,-71.8959262,20,299,SJ07
51,21947503,2022-07-14 06:35:17,06:35:17,1,-13.5437936,-71.8965189,25,305,SJ07
52,21947537,2022-07-14 06:35:29,06:35:29,1,-13.5431875,-71.8973417,31,306,SJ07
53,21947600,2022-07-14 06:35:49,06:35:49,1,-13.5426949,-71.8980298,15,300,SJ07
54,21947638,2022-07-14 06:36:02,06:36:02,1,-13.542081,-71.898901,41,305,SJ07
55,21947672,2022-07-14 06:36:14,06:36:14,1,-13.5412472,-71.9000998,53,306,SJ07
56,21947706,2022-07-14 06:36:26,06:36:26,1,-13.5401933,-71.9015331,55,307,SJ07
57,21947745,2022-07-14 06:36:38,06:36:38,1,-13.5395753,-71.9023659,37,307,SJ07
58,21947758,2022-07-14 06:36:50,06:36:50,1,-13.5388069,-71.9034472,46,305,SJ07
59,21947787,2022-07-14 06:37:02,06:37:02,1,-13.5379388,-71.904711,50,303,SJ07
60,21947843,2022-07-14 06:37:21,06:37:21,1,-13.537362,-71.905587,19,298,SJ07
61,21947894,2022-07-14 06:37:40,06:37:40,1,-13.5369888,-71.9062276,11,303,SJ07
62,21947931,2022-07-14 06:37:53,06:37:53,1,-13.536522,-71.9069605,30,302,SJ07
63,21947966,2022-07-14 06:38:05,06:38:05,1,-13.5358827,-71.9078803,45,305,SJ07
64,21948002,2022-07-14 06:38:17,06:38:17,1,-13.534965,-71.9093104,63,304,SJ07
65,21948040,2022-07-14 06:38:29,06:38:29,1,-13.5338673,-71.9109336,56,305,SJ07
66,21948175,2022-07-14 06:39:21,06:39:21,1,-13.5334172,-71.9115976,10,292,SJ07
67,21948211,2022-07-14 06:39:34,06:39:34,1,-13.5329389,-71.9123807,36,303,SJ07
68,21948269,2022-07-14 06:39:46,06:39:46,1,-13.5322438,-71.9134454,43,304,SJ07
69,21948287,2022-07-14 06:40:02,06:40:02,1,-13.5317322,-71.9142583,12,298,SJ07
70,21948320,2022-07-14 06:40:17,06:40:17,1,-13.5315175,-71.915134,39,277,SJ07
71,21948362,2022-07-14 06:40:31,06:40:31,1,-13.5315276,-71.9162222,11,251,SJ07
72,21948397,2022-07-14 06:40:45,06:40:45,1,-13.5318263,-71.9172189,40,254,SJ07
73,21948436,2022-07-14 06:40:57,06:40:57,1,-13.532118,-71.9186666,51,260,SJ07
74,21948469,2022-07-14 06:41:09,06:41:09,1,-13.5324319,-71.9202562,44,257,SJ07
75,21948550,2022-07-14 06:41:33,06:41:33,1,-13.5326245,-71.9211093,29,256,SJ07
76,21948594,2022-07-14 06:41:45,06:41:45,1,-13.532785,-71.9222855,44,264,SJ07
77,21948635,2022-07-14 06:41:57,06:41:57,1,-13.5325705,-71.9238103,54,285,SJ07
78,21948666,2022-07-14 06:42:09,06:42:09,1,-13.5321645,-71.9252776,39,286,SJ07
79,21948788,2022-07-14 06:43:01,06:43:01,1,-13.5319447,-71.9260147,23,284,SJ07
80,21948830,2022-07-14 06:43:13,06:43:13,1,-13.5316772,-71.9270098,38,285,SJ07
81,21948885,2022-07-14 06:43:33,06:43:33,1,-13.5313463,-71.9280064,9,285,SJ07
82,21948933,2022-07-14 06:43:52,06:43:52,1,-13.5311392,-71.9287909,35,285,SJ07
83,21948973,2022-07-14 06:44:04,06:44:04,1,-13.5307955,-71.9300127,43,284,SJ07
84,21949012,2022-07-14 06:44:16,06:44:16,1,-13.5304181,-71.9314126,49,285,SJ07
85,21949082,2022-07-14 06:44:42,06:44:42,1,-13.5300776,-71.9324511,19,284,SJ07
86,21949139,2022-07-14 06:44:54,06:44:54,1,-13.5299211,-71.9331485,23,284,SJ07
87,21949133,2022-07-14 06:45:06,06:45:06,1,-13.5296771,-71.934044,35,288,SJ07
88,21949181,2022-07-14 06:45:18,06:45:18,1,-13.5294019,-71.9349713,34,284,SJ07
89,21949227,2022-07-14 06:45:30,06:45:30,1,-13.5290685,-71.9362022,47,282,SJ07
90,21949243,2022-07-14 06:45:42,06:45:42,1,-13.5286079,-71.9377602,46,288,SJ07
91,21949287,2022-07-14 06:45:54,06:45:54,1,-13.5282957,-71.9388761,35,286,SJ07
