,id,date,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
56291,22132054,2022-07-14,20:45:37,5,-13.5519457,-71.9876437,22,73,SJ07
56297,22132057,2022-07-14,20:45:49,5,-13.551467,-71.9870472,28,24,SJ07
56354,22128010,2022-07-14,20:20:42,5,-13.5259,-71.9825135,16,110,SJ07
56539,22128075,2022-07-14,20:21:07,5,-13.5261548,-71.9818468,9,100,SJ07
56663,22140331,2022-07-14,22:09:22,5,-13.5506502,-71.873552,8,222,SJ07
56690,22140341,2022-07-14,22:09:38,5,-13.5505828,-71.8741965,22,290,SJ07
56708,22140350,2022-07-14,22:09:50,5,-13.5503743,-71.8749896,31,286,SJ07
56729,22128151,2022-07-14,20:21:33,5,-13.5267186,-71.981848,12,199,SJ07
56731,22140359,2022-07-14,22:10:02,5,-13.5500639,-71.8759941,36,287,SJ07
56781,22124098,2022-07-14,19:59:35,5,-13.5213599,-71.9664884,5,258,SJ07
56783,22115961,2022-07-14,19:18:47,5,-13.5531249,-71.8645194,17,245,SJ07
56785,22140375,2022-07-14,22:10:14,5,-13.5497227,-71.8770892,35,287,SJ07
56830,22140390,2022-07-14,22:10:26,5,-13.549436,-71.8781124,32,287,SJ07
56899,22128206,2022-07-14,20:21:51,5,-13.5273955,-71.9821817,14,201,SJ07
57106,22136425,2022-07-14,21:18:53,5,-13.5227949,-71.9698548,8,91,SJ07
57111,22136426,2022-07-14,21:19:21,5,-13.5228955,-71.9691129,21,96,SJ07
57119,22136428,2022-07-14,21:19:33,5,-13.5229487,-71.9684098,20,72,SJ07
57122,22136429,2022-07-14,21:19:46,5,-13.5222909,-71.9680093,29,30,SJ07
57148,22132371,2022-07-14,20:48:15,5,-13.5507865,-71.9867626,25,19,SJ07
57199,22136458,2022-07-14,21:19:58,5,-13.5215026,-71.9675162,30,35,SJ07
57233,22132401,2022-07-14,20:48:27,5,-13.5502344,-71.9868575,19,249,SJ07
57234,22136470,2022-07-14,21:20:10,5,-13.5211577,-71.9667444,27,95,SJ07
57285,22128350,2022-07-14,20:22:34,5,-13.5280284,-71.9825043,19,251,SJ07
57306,22132427,2022-07-14,20:48:39,5,-13.5508446,-71.9875971,34,219,SJ07
57376,22132452,2022-07-14,20:48:51,5,-13.551392,-71.9882061,31,279,SJ07
57428,22136541,2022-07-14,21:20:39,5,-13.5214115,-71.965945,31,106,SJ07
57448,22128410,2022-07-14,20:22:47,5,-13.5280919,-71.9832756,27,264,SJ07
57455,22124346,2022-07-14,20:00:50,5,-13.5205863,-71.9690095,25,277,SJ07
57492,22132497,2022-07-14,20:49:09,5,-13.5512442,-71.9890834,16,301,SJ07
57517,22136576,2022-07-14,21:20:51,5,-13.5217851,-71.964777,42,107,SJ07
57529,22116235,2022-07-14,19:20:12,5,-13.5521879,-71.8675401,1,254,SJ07
57567,22132526,2022-07-14,20:49:21,5,-13.5514484,-71.9899722,41,231,SJ07
57617,22132548,2022-07-14,20:49:33,5,-13.5520603,-71.9909149,28,241,SJ07
57643,22136627,2022-07-14,21:21:23,5,-13.5220989,-71.9638059,16,100,SJ07
57683,22128503,2022-07-14,20:23:32,5,-13.5283286,-71.98388,12,171,SJ07
57691,22132576,2022-07-14,20:49:45,5,-13.5517299,-71.9910567,27,58,SJ07
57711,22136653,2022-07-14,21:21:35,5,-13.5223489,-71.9628942,40,108,SJ07
57747,22140735,2022-07-14,22:17:23,5,-13.5493937,-71.8787108,0,284,SJ07
57748,22120391,2022-07-14,19:40:58,5,-13.5323981,-71.9207944,7,276,SJ07
57757,22132601,2022-07-14,20:49:57,5,-13.5512296,-71.9901723,37,58,SJ07
57769,22128536,2022-07-14,20:23:46,5,-13.528961,-71.9832921,30,150,SJ07
57818,22136695,2022-07-14,21:21:47,5,-13.5228021,-71.9614525,47,107,SJ07
57823,22136696,2022-07-14,21:21:59,5,-13.5231348,-71.9603193,25,107,SJ07
57830,22132630,2022-07-14,20:50:09,5,-13.5505384,-71.9890644,42,51,SJ07
57864,22136714,2022-07-14,21:22:16,5,-13.5233611,-71.9596484,10,113,SJ07
57920,22132665,2022-07-14,20:50:21,5,-13.5499188,-71.9883025,34,50,SJ07
57948,22128606,2022-07-14,20:24:13,5,-13.5297227,-71.9831158,10,158,SJ07
57987,22132690,2022-07-14,20:50:33,5,-13.54917,-71.9875302,37,40,SJ07
58016,22116424,2022-07-14,19:21:13,5,-13.5507113,-71.871596,32,309,SJ07
58060,22132713,2022-07-14,20:50:45,5,-13.5486695,-71.9868543,29,59,SJ07
58085,22128657,2022-07-14,20:24:31,5,-13.5304607,-71.9829182,15,163,SJ07
58139,22132746,2022-07-14,20:50:57,5,-13.5479888,-71.9858049,42,50,SJ07
58152,22140888,2022-07-14,22:21:22,5,-13.549111,-71.8792678,16,284,SJ07
58170,22124622,2022-07-14,20:02:16,5,-13.5203347,-71.9720979,12,249,SJ07
58184,22140902,2022-07-14,22:21:41,5,-13.5484059,-71.8792462,14,13,SJ07
58216,22128707,2022-07-14,20:24:45,5,-13.5310357,-71.9826407,6,118,SJ07
58238,22140920,2022-07-14,22:22:05,5,-13.5477122,-71.8793219,16,279,SJ07
58265,22132795,2022-07-14,20:51:16,5,-13.5473378,-71.9850877,10,34,SJ07
