,id,date,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
60183,22133550,2022-07-14,20:56:33,5,-13.5342326,-71.9806926,26,5,SJ07
60214,22137631,2022-07-14,21:32:31,5,-13.5295189,-71.9353347,34,105,SJ07
60240,22133572,2022-07-14,20:56:45,5,-13.5333963,-71.9806082,29,10,SJ07
60262,22129510,2022-07-14,20:29:38,5,-13.5404469,-71.9813308,13,184,SJ07
60333,22133606,2022-07-14,20:57:01,5,-13.5326698,-71.9802346,16,26,SJ07
60387,22137696,2022-07-14,21:33:04,5,-13.5297369,-71.9345173,18,104,SJ07
60435,22133645,2022-07-14,20:57:15,5,-13.5318996,-71.9800046,28,12,SJ07
60448,22137718,2022-07-14,21:33:16,5,-13.5299891,-71.9336669,33,105,SJ07
60466,22129585,2022-07-14,20:30:05,5,-13.5411462,-71.9815305,11,211,SJ07
60550,22137755,2022-07-14,21:33:47,5,-13.5302562,-71.9327994,9,104,SJ07
60564,22129625,2022-07-14,20:30:20,5,-13.5417798,-71.982035,26,214,SJ07
60609,22137779,2022-07-14,21:34:01,5,-13.5304689,-71.9319563,26,104,SJ07
60612,22125573,2022-07-14,20:07:12,5,-13.525527,-71.9751821,32,289,SJ07
60629,22117442,2022-07-14,19:26:19,5,-13.547506,-71.8850265,14,290,SJ07
60685,22137805,2022-07-14,21:34:13,5,-13.5307785,-71.9308525,46,109,SJ07
60779,22129704,2022-07-14,20:30:55,5,-13.5423921,-71.9821542,6,144,SJ07
60780,22137842,2022-07-14,21:34:36,5,-13.5310556,-71.9298574,23,103,SJ07
60785,22137844,2022-07-14,21:34:48,5,-13.5313896,-71.9286995,47,106,SJ07
60847,22137869,2022-07-14,21:35:00,5,-13.5316469,-71.927694,25,101,SJ07
60874,22137878,2022-07-14,21:35:12,5,-13.5319204,-71.9267958,33,107,SJ07
60925,22137898,2022-07-14,21:35:24,5,-13.5321895,-71.925912,24,109,SJ07
60947,22121630,2022-07-14,19:47:14,5,-13.5276669,-71.9402262,7,320,SJ07
61023,22137933,2022-07-14,21:35:46,5,-13.5323975,-71.9251077,35,105,SJ07
61089,22137958,2022-07-14,21:35:58,5,-13.532758,-71.9237758,51,104,SJ07
61145,22137976,2022-07-14,21:36:10,5,-13.5330034,-71.9220956,53,89,SJ07
61180,22117644,2022-07-14,19:27:24,5,-13.5469431,-71.8872238,8,285,SJ07
61188,22129854,2022-07-14,20:31:47,5,-13.542905,-71.9818903,9,194,SJ07
61272,22138020,2022-07-14,21:36:38,5,-13.5327914,-71.920902,6,81,SJ07
61338,22138045,2022-07-14,21:36:52,5,-13.5325999,-71.9200381,36,77,SJ07
61346,22129911,2022-07-14,20:32:11,5,-13.5435954,-71.9822757,13,183,SJ07
61503,22129968,2022-07-14,20:32:30,5,-13.5443809,-71.9821556,14,163,SJ07
61508,22138107,2022-07-14,21:37:43,5,-13.5317328,-71.9160252,25,78,SJ07
61550,22138123,2022-07-14,21:37:55,5,-13.5317408,-71.9149097,40,99,SJ07
61604,22138144,2022-07-14,21:38:07,5,-13.5322077,-71.9138059,39,125,SJ07
61611,22125940,2022-07-14,20:08:46,5,-13.5252912,-71.9712761,0,101,SJ07
61642,22138160,2022-07-14,21:38:19,5,-13.5329954,-71.9126878,43,125,SJ07
61648,22134094,2022-07-14,21:00:43,5,-13.5280605,-71.9835196,22,86,SJ07
61651,22134095,2022-07-14,20:57:42,5,-13.5302033,-71.9797631,13,270,SJ07
61652,22134096,2022-07-14,20:58:06,5,-13.5303852,-71.9804976,13,262,SJ07
61653,22134097,2022-07-14,20:58:26,5,-13.5305746,-71.9813556,19,263,SJ07
61658,22134099,2022-07-14,20:58:41,5,-13.5307769,-71.9820251,11,251,SJ07
61666,22134102,2022-07-14,20:58:56,5,-13.530997,-71.9826331,12,304,SJ07
61672,22134104,2022-07-14,20:59:38,5,-13.5303237,-71.9829572,11,337,SJ07
61676,22134105,2022-07-14,20:59:54,5,-13.5296293,-71.9831404,18,346,SJ07
61684,22134107,2022-07-14,21:00:12,5,-13.5289323,-71.9833417,20,337,SJ07
61689,22134110,2022-07-14,21:00:24,5,-13.5284312,-71.9837536,19,299,SJ07
61723,22130058,2022-07-14,20:33:05,5,-13.5450905,-71.9820674,15,252,SJ07
61726,22121921,2022-07-14,19:48:26,5,-13.5273615,-71.945622,13,306,SJ07
61795,22138225,2022-07-14,21:39:08,5,-13.5334922,-71.9119475,5,115,SJ07
61825,22117890,2022-07-14,19:28:40,5,-13.5464883,-71.8893721,8,297,SJ07
61841,22138242,2022-07-14,21:39:23,5,-13.5340152,-71.9111455,39,122,SJ07
61857,22130111,2022-07-14,20:33:23,5,-13.5447279,-71.9826692,23,290,SJ07
61891,22138262,2022-07-14,21:39:35,5,-13.5348606,-71.9098549,53,123,SJ07
61928,22130139,2022-07-14,20:33:35,5,-13.5450964,-71.9833641,27,224,SJ07
61936,22138280,2022-07-14,21:39:47,5,-13.5356947,-71.9086087,44,124,SJ07
62003,22138305,2022-07-14,21:40:02,5,-13.5361977,-71.9078174,13,115,SJ07
62029,22130176,2022-07-14,20:33:47,5,-13.5457377,-71.9839698,29,220,SJ07
62037,22138316,2022-07-14,21:40:15,5,-13.5366401,-71.9070947,33,124,SJ07
62115,22134280,2022-07-14,21:01:43,5,-13.5276911,-71.9823209,5,10,SJ07
62123,22138351,2022-07-14,21:40:37,5,-13.5370748,-71.9064884,20,121,SJ07
62135,22134288,2022-07-14,21:02:05,5,-13.5273745,-71.983039,18,288,SJ07
62194,22134310,2022-07-14,21:02:19,5,-13.5271375,-71.9836722,8,308,SJ07
62215,22130251,2022-07-14,20:34:14,5,-13.5463743,-71.984462,17,211,SJ07
62234,22138398,2022-07-14,21:41:04,5,-13.5373927,-71.9058863,3,73,SJ07
62265,22122135,2022-07-14,19:49:50,5,-13.5275214,-71.9456051,6,129,SJ07
62277,22138415,2022-07-14,21:41:22,5,-13.5375888,-71.9053028,29,123,SJ07
62285,22130280,2022-07-14,20:34:26,5,-13.5469676,-71.9848537,22,205,SJ07
62320,22138434,2022-07-14,21:41:34,5,-13.5382053,-71.9043798,38,123,SJ07
62347,22134375,2022-07-14,21:02:46,5,-13.5265337,-71.9834776,24,19,SJ07
62354,22138448,2022-07-14,21:41:46,5,-13.5387851,-71.9035287,34,126,SJ07
62358,22130312,2022-07-14,20:34:38,5,-13.547569,-71.9852581,26,220,SJ07
62381,22138458,2022-07-14,21:41:58,5,-13.5395418,-71.9025191,43,125,SJ07
62419,22138476,2022-07-14,21:42:10,5,-13.5402305,-71.9015602,32,127,SJ07
62441,22134416,2022-07-14,21:02:59,5,-13.5257525,-71.9832324,16,20,SJ07
62454,22138490,2022-07-14,21:42:22,5,-13.5407916,-71.9007727,32,125,SJ07
62473,22130360,2022-07-14,20:34:55,5,-13.5480856,-71.9858913,19,233,SJ07
62491,22138502,2022-07-14,21:42:34,5,-13.5413035,-71.9000175,31,123,SJ07
62521,22138518,2022-07-14,21:42:46,5,-13.5420429,-71.8990446,42,129,SJ07
62527,22134451,2022-07-14,21:03:18,5,-13.5250854,-71.9831789,12,293,SJ07
62560,22130395,2022-07-14,20:35:08,5,-13.5485776,-71.986497,27,238,SJ07
62599,22138551,2022-07-14,21:43:07,5,-13.5426691,-71.8981773,11,124,SJ07
62627,22130423,2022-07-14,20:35:20,5,-13.5489782,-71.9873,27,231,SJ07
62646,22138567,2022-07-14,21:43:21,5,-13.5431722,-71.8974698,33,125,SJ07
62684,22138581,2022-07-14,21:43:33,5,-13.5438481,-71.8965447,37,127,SJ07
62705,22130452,2022-07-14,20:35:32,5,-13.5495978,-71.9879032,29,223,SJ07
62758,22138609,2022-07-14,21:43:57,5,-13.5444381,-71.895996,10,136,SJ07
62778,22122342,2022-07-14,19:50:51,5,-13.5261671,-71.9503991,17,262,SJ07
62795,22130487,2022-07-14,20:35:44,5,-13.5501783,-71.9885886,29,229,SJ07
62870,22130515,2022-07-14,20:35:56,5,-13.5507454,-71.9892862,30,232,SJ07
62945,22134611,2022-07-14,21:04:24,5,-13.5245568,-71.9833116,14,19,SJ07
62952,22130544,2022-07-14,20:36:08,5,-13.5512289,-71.9901184,29,239,SJ07
62976,22134626,2022-07-14,21:04:36,5,-13.5238571,-71.9830543,22,13,SJ07
63039,22126513,2022-07-14,20:12:07,5,-13.5235378,-71.9796705,0,262,SJ07
63104,22130605,2022-07-14,20:36:37,5,-13.5516098,-71.9907555,17,242,SJ07
63144,22134688,2022-07-14,21:04:53,5,-13.5231115,-71.9828759,11,26,SJ07
63145,22138757,2022-07-14,21:45:08,5,-13.5456811,-71.8925943,56,105,SJ07
63148,22138758,2022-07-14,21:45:20,5,-13.5461189,-71.8908774,54,104,SJ07
63151,22138759,2022-07-14,21:45:35,5,-13.5463314,-71.8898169,8,107,SJ07
63156,22138761,2022-07-14,21:46:03,5,-13.5464952,-71.8891597,12,105,SJ07
63176,22130631,2022-07-14,20:36:49,5,-13.5520055,-71.9912871,25,189,SJ07
63178,22118425,2022-07-14,19:30:30,5,-13.5455252,-71.8931636,1,277,SJ07
63260,22130665,2022-07-14,20:37:01,5,-13.5519122,-71.9906107,26,59,SJ07
63316,22138825,2022-07-14,21:46:49,5,-13.5466756,-71.8884206,25,103,SJ07
63319,22134757,2022-07-14,21:05:34,5,-13.5226382,-71.9823768,11,47,SJ07
63324,22118483,2022-07-14,19:31:46,5,-13.5428424,-71.8978562,16,314,SJ07
63356,22138840,2022-07-14,21:47:01,5,-13.5468848,-71.8876011,19,105,SJ07
63358,22130703,2022-07-14,20:37:13,5,-13.5514124,-71.9898444,29,51,SJ07
63388,22138854,2022-07-14,21:47:19,5,-13.5470617,-71.8868934,20,104,SJ07
63403,22122584,2022-07-14,19:52:02,5,-13.525595,-71.951715,13,295,SJ07
63412,22130726,2022-07-14,20:37:25,5,-13.551227,-71.9890242,25,118,SJ07
63413,22138864,2022-07-14,21:47:31,5,-13.5472995,-71.8860919,31,108,SJ07
63475,22130756,2022-07-14,20:37:37,5,-13.5513555,-71.9884252,23,68,SJ07
63496,22126696,2022-07-14,20:13:06,5,-13.523261,-71.9801316,8,296,SJ07
63499,22138905,2022-07-14,21:48:08,5,-13.5474648,-71.8853335,19,102,SJ07
63555,22134860,2022-07-14,21:06:23,5,-13.5225509,-71.9816868,12,115,SJ07
63605,22130814,2022-07-14,20:38:02,5,-13.5513635,-71.9877906,13,64,SJ07
63617,22138955,2022-07-14,21:48:46,5,-13.547856,-71.8839257,23,106,SJ07
63670,22134905,2022-07-14,21:06:46,5,-13.5229,-71.9809463,16,112,SJ07
63676,22138977,2022-07-14,21:49:08,5,-13.5480645,-71.8831579,27,104,SJ07
63689,22138983,2022-07-14,21:49:20,5,-13.5483271,-71.8821825,34,104,SJ07
63698,22130849,2022-07-14,20:38:16,5,-13.5507121,-71.9875068,24,39,SJ07
63762,22126806,2022-07-14,20:13:45,5,-13.5229546,-71.9807783,12,300,SJ07
63769,22130879,2022-07-14,20:38:28,5,-13.550262,-71.9868602,22,54,SJ07
63774,22139018,2022-07-14,21:49:53,5,-13.5485486,-71.8813785,20,104,SJ07
