,id,date_time,time,lap,latitude,longitude,velocity,navigation,vehicle_id_id
0,21985339,2022-07-14 09:28:00,09:28:00,2,-13.5547977,-71.8560231,13,142,SJ07
1,21985423,2022-07-14 09:28:23,09:28:23,2,-13.5556575,-71.8557202,12,192,SJ07
2,21985494,2022-07-14 09:28:40,09:28:40,2,-13.5554948,-71.856421,26,302,SJ07
3,21985541,2022-07-14 09:28:52,09:28:52,2,-13.554922,-71.8572056,31,307,SJ07
4,21985657,2022-07-14 09:29:22,09:29:22,2,-13.554503,-71.8578612,19,301,SJ07
5,21985699,2022-07-14 09:29:34,09:29:34,2,-13.5541108,-71.8584984,27,298,SJ07
6,21985747,2022-07-14 09:29:46,09:29:46,2,-13.5537389,-71.8593846,32,288,SJ07
7,21985786,2022-07-14 09:29:58,09:29:58,2,-13.5535242,-71.8604807,38,277,SJ07
8,21985835,2022-07-14 09:30:10,09:30:10,2,-13.5533693,-71.8614555,19,274,SJ07
9,21985963,2022-07-14 09:30:44,09:30:44,2,-13.5532677,-71.8622595,26,276,SJ07
10,21986009,2022-07-14 09:30:56,09:30:56,2,-13.5531257,-71.8632321,34,278,SJ07
11,21986057,2022-07-14 09:31:08,09:31:08,2,-13.5529599,-71.8642523,32,278,SJ07
12,21986113,2022-07-14 09:31:21,09:31:21,2,-13.5527768,-71.8651532,11,282,SJ07
13,21986204,2022-07-14 09:31:41,09:31:41,2,-13.552623,-71.8658977,21,283,SJ07
14,21986252,2022-07-14 09:31:53,09:31:53,2,-13.5524338,-71.8667325,29,285,SJ07
15,21986335,2022-07-14 09:32:17,09:32:17,2,-13.5522136,-71.8674789,12,284,SJ07
16,21986394,2022-07-14 09:32:32,09:32:32,2,-13.5520485,-71.8682594,28,281,SJ07
17,21986449,2022-07-14 09:32:44,09:32:44,2,-13.5518401,-71.8691227,27,284,SJ07
18,21986493,2022-07-14 09:32:56,09:32:56,2,-13.5516218,-71.8699733,23,287,SJ07
19,21986583,2022-07-14 09:33:24,09:33:24,2,-13.5514644,-71.8706381,24,281,SJ07
20,21986629,2022-07-14 09:33:36,09:33:36,2,-13.5512434,-71.8715686,33,283,SJ07
21,21986684,2022-07-14 09:33:48,09:33:48,2,-13.5509978,-71.8726429,35,288,SJ07
22,21986724,2022-07-14 09:34:00,09:34:00,2,-13.5506797,-71.8737414,35,286,SJ07
23,21986807,2022-07-14 09:34:24,09:34:24,2,-13.5504908,-71.8744567,19,281,SJ07
24,21986860,2022-07-14 09:34:36,09:34:36,2,-13.5502601,-71.8752541,28,288,SJ07
25,21986917,2022-07-14 09:34:48,09:34:48,2,-13.5500236,-71.8760346,20,286,SJ07
26,21986963,2022-07-14 09:35:00,09:35:00,2,-13.5498157,-71.8767206,25,286,SJ07
27,21987056,2022-07-14 09:35:22,09:35:22,2,-13.5495929,-71.8774552,24,286,SJ07
28,21987102,2022-07-14 09:35:34,09:35:34,2,-13.5493061,-71.8783526,32,288,SJ07
29,21987190,2022-07-14 09:35:58,09:35:58,2,-13.5490799,-71.8791425,21,284,SJ07
30,21987237,2022-07-14 09:36:10,09:36:10,2,-13.5488687,-71.8799565,16,290,SJ07
31,21987345,2022-07-14 09:36:35,09:36:35,2,-13.5486876,-71.8807029,29,286,SJ07
32,21987399,2022-07-14 09:36:54,09:36:54,2,-13.5485038,-71.8814109,26,286,SJ07
33,21987447,2022-07-14 09:37:06,09:37:06,2,-13.5482486,-71.8823498,33,284,SJ07
34,21987518,2022-07-14 09:37:30,09:37:30,2,-13.548,-71.8831919,18,284,SJ07
35,21987580,2022-07-14 09:37:42,09:37:42,2,-13.5477775,-71.8839701,27,285,SJ07
36,21987629,2022-07-14 09:37:54,09:37:54,2,-13.5476269,-71.8846385,20,281,SJ07
37,21987699,2022-07-14 09:38:16,09:38:16,2,-13.5474593,-71.8853164,19,282,SJ07
38,21987747,2022-07-14 09:38:28,09:38:28,2,-13.5472646,-71.886029,27,286,SJ07
39,21987800,2022-07-14 09:38:40,09:38:40,2,-13.5470277,-71.8868888,27,283,SJ07
40,21987837,2022-07-14 09:38:52,09:38:52,2,-13.5468278,-71.8877158,23,283,SJ07
41,21987898,2022-07-14 09:39:11,09:39:11,2,-13.5463228,-71.8878106,17,19,SJ07
42,21987963,2022-07-14 09:39:23,09:39:23,2,-13.5457531,-71.887637,20,15,SJ07
43,21988050,2022-07-14 09:39:42,09:39:42,2,-13.5450195,-71.8873979,14,16,SJ07
44,21988143,2022-07-14 09:40:12,09:40:12,2,-13.5443614,-71.8874763,18,293,SJ07
45,21988481,2022-07-14 09:41:39,09:41:39,2,-13.5442162,-71.8880843,7,245,SJ07
46,21988668,2022-07-14 09:42:31,09:42:31,2,-13.5448608,-71.8883708,4,195,SJ07
47,21988717,2022-07-14 09:42:47,09:42:47,2,-13.545638,-71.8886481,29,197,SJ07
48,21988765,2022-07-14 09:43:01,09:43:01,2,-13.5463807,-71.8889127,8,198,SJ07
49,21989026,2022-07-14 09:44:18,09:44:18,2,-13.5463451,-71.8895772,18,282,SJ07
50,21989070,2022-07-14 09:44:30,09:44:30,2,-13.546091,-71.8902939,22,290,SJ07
51,21989112,2022-07-14 09:44:42,09:44:42,2,-13.5458689,-71.8911205,37,283,SJ07
52,21989189,2022-07-14 09:44:54,09:44:54,2,-13.5455325,-71.8923444,32,286,SJ07
53,21989193,2022-07-14 09:45:06,09:45:06,2,-13.54532,-71.8931328,33,283,SJ07
54,21989254,2022-07-14 09:45:18,09:45:18,2,-13.5449875,-71.8942615,40,288,SJ07
55,21989295,2022-07-14 09:45:30,09:45:30,2,-13.5444206,-71.8954798,39,299,SJ07
56,21989388,2022-07-14 09:45:54,09:45:54,2,-13.544031,-71.8961457,25,300,SJ07
57,21989459,2022-07-14 09:46:06,09:46:06,2,-13.5434494,-71.8970227,38,306,SJ07
58,21989512,2022-07-14 09:46:23,09:46:23,2,-13.542837,-71.8978762,6,302,SJ07
59,21989739,2022-07-14 09:47:25,09:47:25,2,-13.5423853,-71.8984751,26,309,SJ07
60,21989784,2022-07-14 09:47:37,09:47:37,2,-13.5417718,-71.8993235,36,306,SJ07
61,21989835,2022-07-14 09:47:49,09:47:49,2,-13.5410591,-71.900291,41,306,SJ07
62,21989919,2022-07-14 09:48:14,09:48:14,2,-13.5404594,-71.901091,17,303,SJ07
63,21989991,2022-07-14 09:48:27,09:48:27,2,-13.5400206,-71.9017405,32,305,SJ07
64,21990040,2022-07-14 09:48:39,09:48:39,2,-13.5393269,-71.9026899,33,308,SJ07
65,21990094,2022-07-14 09:48:59,09:48:59,2,-13.5388412,-71.9033513,33,306,SJ07
66,21990303,2022-07-14 09:49:59,09:49:59,2,-13.5383701,-71.9040329,25,304,SJ07
67,21990542,2022-07-14 09:50:28,09:50:28,2,-13.5372034,-71.9057576,25,303,SJ07
68,21990545,2022-07-14 09:50:40,09:50:40,2,-13.5366682,-71.9066295,36,302,SJ07
69,21990547,2022-07-14 09:51:02,09:51:02,2,-13.536182,-71.9073708,19,303,SJ07
70,21990599,2022-07-14 09:51:14,09:51:14,2,-13.5356414,-71.9082255,39,302,SJ07
71,21990653,2022-07-14 09:51:26,09:51:26,2,-13.5349075,-71.9094016,49,304,SJ07
72,21990716,2022-07-14 09:51:38,09:51:38,2,-13.5339916,-71.9107334,52,304,SJ07
73,21990792,2022-07-14 09:52:06,09:52:06,2,-13.5334449,-71.9115627,18,296,SJ07
74,21990855,2022-07-14 09:52:18,09:52:18,2,-13.5330513,-71.9122377,31,302,SJ07
75,21990936,2022-07-14 09:52:30,09:52:30,2,-13.5324137,-71.9131823,39,303,SJ07
76,21990937,2022-07-14 09:52:45,09:52:45,2,-13.5319052,-71.9140539,8,296,SJ07
77,21991113,2022-07-14 09:53:34,09:53:34,2,-13.5316174,-71.9147264,31,285,SJ07
78,21991306,2022-07-14 09:54:10,09:54:10,2,-13.5320529,-71.9182411,52,257,SJ07
79,21991310,2022-07-14 09:54:22,09:54:22,2,-13.5323678,-71.9199547,58,258,SJ07
80,21991386,2022-07-14 09:54:49,09:54:49,2,-13.5325911,-71.9209776,23,256,SJ07
81,21991443,2022-07-14 09:55:01,09:55:01,2,-13.5327762,-71.9221069,42,264,SJ07
82,21991512,2022-07-14 09:55:13,09:55:13,2,-13.5326126,-71.9236792,56,284,SJ07
83,21991515,2022-07-14 09:55:25,09:55:25,2,-13.53216,-71.9252041,49,288,SJ07
84,21991610,2022-07-14 09:55:45,09:55:45,2,-13.531929,-71.9260244,29,284,SJ07
85,21991666,2022-07-14 09:55:57,09:55:57,2,-13.5316096,-71.9271515,40,285,SJ07
86,21991739,2022-07-14 09:56:21,09:56:21,2,-13.5313239,-71.9281263,20,282,SJ07
87,21991786,2022-07-14 09:56:33,09:56:33,2,-13.5310488,-71.9290759,39,286,SJ07
88,21991836,2022-07-14 09:56:45,09:56:45,2,-13.5306946,-71.9303786,46,284,SJ07
89,21991854,2022-07-14 09:56:57,09:56:57,2,-13.5303464,-71.9315953,28,288,SJ07
90,21991966,2022-07-14 09:57:32,09:57:32,2,-13.530138,-71.9322816,8,286,SJ07
91,21992053,2022-07-14 09:57:55,09:57:55,2,-13.5299045,-71.933179,33,286,SJ07
92,21992125,2022-07-14 09:58:07,09:58:07,2,-13.5296692,-71.9340298,22,285,SJ07
93,21992207,2022-07-14 09:58:37,09:58:37,2,-13.5294992,-71.9347444,25,286,SJ07
94,21992256,2022-07-14 09:58:49,09:58:49,2,-13.5291678,-71.9358404,40,287,SJ07
95,21992307,2022-07-14 09:59:01,09:59:01,2,-13.5287874,-71.9371431,43,287,SJ07
96,21992356,2022-07-14 09:59:13,09:59:13,2,-13.5284862,-71.9382094,34,285,SJ07
97,21992383,2022-07-14 09:59:25,09:59:25,2,-13.5281726,-71.9392845,33,286,SJ07
98,21992493,2022-07-14 09:59:51,09:59:51,2,-13.5279688,-71.9400728,23,283,SJ07
99,21992548,2022-07-14 10:00:03,10:00:03,2,-13.527837,-71.9410971,36,272,SJ07
100,21992568,2022-07-14 10:00:15,10:00:15,2,-13.5277259,-71.9422041,36,278,SJ07
101,21992633,2022-07-14 10:00:28,10:00:28,2,-13.5275759,-71.9430899,7,273,SJ07
102,21993051,2022-07-14 10:01:41,10:01:41,2,-13.5272794,-71.9456754,20,276,SJ07
103,21993052,2022-07-14 10:01:53,10:01:53,2,-13.5271812,-71.9466165,36,281,SJ07
104,21993055,2022-07-14 10:02:05,10:02:05,2,-13.5268581,-71.9478209,40,286,SJ07
105,21993058,2022-07-14 10:02:17,10:02:17,2,-13.5264678,-71.9490867,44,288,SJ07
106,21993059,2022-07-14 10:02:29,10:02:29,2,-13.5260946,-71.9503447,37,288,SJ07
107,21993129,2022-07-14 10:02:41,10:02:41,2,-13.5257191,-71.9514333,31,290,SJ07
108,21993153,2022-07-14 10:02:57,10:02:57,2,-13.5254799,-71.9521204,19,286,SJ07
109,21993202,2022-07-14 10:03:09,10:03:09,2,-13.5252431,-71.9529128,21,302,SJ07
110,21993294,2022-07-14 10:03:36,10:03:36,2,-13.5250478,-71.9536435,28,286,SJ07
111,21993360,2022-07-14 10:03:48,10:03:48,2,-13.5247283,-71.954714,38,286,SJ07
112,21993382,2022-07-14 10:04:00,10:04:00,2,-13.5244424,-71.9556669,19,290,SJ07
113,21993569,2022-07-14 10:04:51,10:04:51,2,-13.5242441,-71.9563365,12,284,SJ07
114,21993707,2022-07-14 10:05:16,10:05:16,2,-13.5237138,-71.9580343,32,287,SJ07
115,21993706,2022-07-14 10:05:28,10:05:28,2,-13.5234549,-71.958863,21,289,SJ07
116,21993849,2022-07-14 10:06:01,10:06:01,2,-13.5232681,-71.9595078,18,287,SJ07
117,21993929,2022-07-14 10:06:13,10:06:13,2,-13.523033,-71.9602743,31,286,SJ07
118,21994121,2022-07-14 10:07:13,10:07:13,2,-13.5227859,-71.9610889,12,287,SJ07
119,21994180,2022-07-14 10:07:27,10:07:27,2,-13.5225649,-71.9618853,28,286,SJ07
120,21994290,2022-07-14 10:07:39,10:07:39,2,-13.5222433,-71.9629209,32,287,SJ07
121,21994322,2022-07-14 10:08:10,10:08:10,2,-13.5220302,-71.9636208,19,286,SJ07
122,21994374,2022-07-14 10:08:22,10:08:22,2,-13.5218057,-71.9643468,26,284,SJ07
123,21994422,2022-07-14 10:08:34,10:08:34,2,-13.5215766,-71.9651168,27,285,SJ07
124,21994544,2022-07-14 10:09:05,10:09:05,2,-13.5214085,-71.9657667,15,285,SJ07
125,21994713,2022-07-14 10:09:47,10:09:47,2,-13.5211608,-71.9665627,11,291,SJ07
126,21994788,2022-07-14 10:10:01,10:10:01,2,-13.5209368,-71.9672308,23,289,SJ07
127,21994968,2022-07-14 10:10:50,10:10:50,2,-13.5206017,-71.9685909,16,286,SJ07
128,21995025,2022-07-14 10:11:16,10:11:16,2,-13.5204907,-71.9692915,8,254,SJ07
129,21995197,2022-07-14 10:11:48,10:11:48,2,-13.5211784,-71.9694055,18,191,SJ07
130,21995204,2022-07-14 10:12:03,10:12:03,2,-13.5218295,-71.9695327,12,190,SJ07
131,21995267,2022-07-14 10:12:23,10:12:23,2,-13.5225826,-71.9696814,12,192,SJ07
132,21995343,2022-07-14 10:12:45,10:12:45,2,-13.5226403,-71.9703321,24,276,SJ07
133,21995389,2022-07-14 10:12:57,10:12:57,2,-13.5225043,-71.9710863,18,281,SJ07
134,21995677,2022-07-14 10:14:18,10:14:18,2,-13.5224262,-71.9717874,9,280,SJ07
135,21995763,2022-07-14 10:14:46,10:14:46,2,-13.5228689,-71.9720124,23,173,SJ07
136,21995819,2022-07-14 10:15:03,10:15:03,2,-13.5236418,-71.9719465,25,174,SJ07
137,21995910,2022-07-14 10:15:28,10:15:28,2,-13.5242221,-71.9722194,17,271,SJ07
138,21996094,2022-07-14 10:16:22,10:16:22,2,-13.5246766,-71.9725885,20,165,SJ07
139,21996319,2022-07-14 10:17:28,10:17:28,2,-13.5253663,-71.9723341,24,157,SJ07
140,21996365,2022-07-14 10:17:41,10:17:41,2,-13.5261255,-71.9718691,34,147,SJ07
141,21996430,2022-07-14 10:17:56,10:17:56,2,-13.5268675,-71.9716005,10,245,SJ07
142,21996471,2022-07-14 10:18:10,10:18:10,2,-13.5265181,-71.9722602,28,305,SJ07
143,21996519,2022-07-14 10:18:22,10:18:22,2,-13.5261615,-71.9731144,22,289,SJ07
144,21996562,2022-07-14 10:18:37,10:18:37,2,-13.5259342,-71.9737904,26,288,SJ07
145,21996613,2022-07-14 10:18:49,10:18:49,2,-13.5256593,-71.9746975,31,288,SJ07
146,21996671,2022-07-14 10:19:07,10:19:07,2,-13.525339,-71.9754593,18,288,SJ07
147,21996721,2022-07-14 10:19:19,10:19:19,2,-13.5251392,-71.9761556,26,285,SJ07
148,21996795,2022-07-14 10:19:31,10:19:31,2,-13.5249002,-71.9768882,16,298,SJ07
149,21996912,2022-07-14 10:20:11,10:20:11,2,-13.5245529,-71.9775332,6,292,SJ07
150,21997020,2022-07-14 10:20:43,10:20:43,2,-13.5241958,-71.9782049,13,295,SJ07
151,21997112,2022-07-14 10:21:07,10:21:07,2,-13.5237813,-71.9790714,12,293,SJ07
152,21997357,2022-07-14 10:22:19,10:22:19,2,-13.5234962,-71.9797114,8,296,SJ07
153,21997441,2022-07-14 10:22:43,10:22:43,2,-13.5231498,-71.9804427,13,295,SJ07
154,21997522,2022-07-14 10:23:07,10:23:07,2,-13.5228181,-71.9811759,11,290,SJ07
155,21997789,2022-07-14 10:24:25,10:24:25,2,-13.5225718,-71.9817333,5,301,SJ07
156,21997913,2022-07-14 10:24:59,10:24:59,2,-13.5225448,-71.9822666,6,228,SJ07
157,21998164,2022-07-14 10:26:07,10:26:07,2,-13.522864,-71.9828096,5,197,SJ07
158,21998387,2022-07-14 10:27:09,10:27:09,2,-13.5234924,-71.9830049,8,190,SJ07
159,21998461,2022-07-14 10:27:33,10:27:33,2,-13.5240932,-71.9831208,9,195,SJ07
160,21998686,2022-07-14 10:28:31,10:28:31,2,-13.5246727,-71.9833286,8,202,SJ07
161,21998867,2022-07-14 10:29:21,10:29:21,2,-13.5253578,-71.9836129,6,202,SJ07
162,21999091,2022-07-14 10:30:17,10:30:17,2,-13.5257156,-71.9830308,27,112,SJ07
163,21999131,2022-07-14 10:30:29,10:30:29,2,-13.5260282,-71.9823056,23,114,SJ07
164,21999337,2022-07-14 10:31:28,10:31:28,2,-13.5263488,-71.9818025,11,199,SJ07
165,21999424,2022-07-14 10:31:51,10:31:51,2,-13.527105,-71.9821104,16,203,SJ07
166,21999501,2022-07-14 10:32:11,10:32:11,2,-13.5277529,-71.9823502,13,204,SJ07
167,21999583,2022-07-14 10:32:33,10:32:33,2,-13.5280413,-71.9830575,35,267,SJ07
168,21999677,2022-07-14 10:32:58,10:32:58,2,-13.52814,-71.9838499,10,198,SJ07
169,21999738,2022-07-14 10:33:14,10:33:14,2,-13.5287171,-71.9834188,25,143,SJ07
170,21999783,2022-07-14 10:33:26,10:33:26,2,-13.5293974,-71.9831378,22,165,SJ07
171,21999841,2022-07-14 10:33:41,10:33:41,2,-13.5301215,-71.9829587,23,164,SJ07
172,22000130,2022-07-14 10:34:58,10:34:58,2,-13.5308071,-71.9827207,5,135,SJ07
173,22000192,2022-07-14 10:35:16,10:35:16,2,-13.5307231,-71.9820307,26,72,SJ07
174,22000259,2022-07-14 10:35:30,10:35:30,2,-13.5305384,-71.981133,35,73,SJ07
175,22000308,2022-07-14 10:35:42,10:35:42,2,-13.5302979,-71.9800898,31,76,SJ07
176,22000427,2022-07-14 10:36:11,10:36:11,2,-13.530615,-71.979738,19,193,SJ07
177,22000461,2022-07-14 10:36:23,10:36:23,2,-13.531334,-71.9799119,26,192,SJ07
178,22000770,2022-07-14 10:36:35,10:36:35,2,-13.5323005,-71.9801491,32,195,SJ07
179,22000779,2022-07-14 10:36:47,10:36:47,2,-13.5332249,-71.9805706,33,202,SJ07
180,22000785,2022-07-14 10:37:00,10:37:00,2,-13.5340309,-71.9807138,32,185,SJ07
181,22000791,2022-07-14 10:37:12,10:37:12,2,-13.5351283,-71.9807243,20,154,SJ07
182,22000897,2022-07-14 10:38:20,10:38:20,2,-13.5357832,-71.9804177,19,166,SJ07
183,22001020,2022-07-14 10:38:53,10:38:53,2,-13.5363882,-71.9801657,10,151,SJ07
184,22001481,2022-07-14 10:39:08,10:39:08,2,-13.5371017,-71.9799249,22,183,SJ07
185,22001487,2022-07-14 10:39:20,10:39:20,2,-13.5377252,-71.9802282,19,200,SJ07
186,22001492,2022-07-14 10:39:32,10:39:32,2,-13.5384478,-71.9806186,30,207,SJ07
187,22001497,2022-07-14 10:39:55,10:39:55,2,-13.5391508,-71.9809614,15,201,SJ07
188,22001502,2022-07-14 10:40:08,10:40:08,2,-13.5398425,-71.9811985,23,198,SJ07
