,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id
0,21949422,2022-07-14 06:46:44,1,"(-13.5547976, -71.8560955)",10,155,SJ18
1,21949494,2022-07-14 06:47:08,1,"(-13.5554652, -71.855811)",12,155,SJ18
2,21949564,2022-07-14 06:47:32,1,"(-13.5556267, -71.8561853)",16,302,SJ18
3,21949606,2022-07-14 06:47:45,1,"(-13.5552496, -71.856778)",26,303,SJ18
4,21949640,2022-07-14 06:47:57,1,"(-13.554726, -71.8575089)",29,305,SJ18
5,21949733,2022-07-14 06:48:27,1,"(-13.5542985, -71.858145)",7,304,SJ18
6,21949803,2022-07-14 06:48:43,1,"(-13.5539831, -71.8587548)",25,291,SJ18
7,21949833,2022-07-14 06:48:55,1,"(-13.5536846, -71.8595892)",30,285,SJ18
8,21949875,2022-07-14 06:49:07,1,"(-13.5535024, -71.860576)",33,278,SJ18
9,21949915,2022-07-14 06:49:22,1,"(-13.5533711, -71.8614571)",12,281,SJ18
10,21950059,2022-07-14 06:50:02,1,"(-13.5532676, -71.8621884)",18,277,SJ18
11,21950097,2022-07-14 06:50:14,1,"(-13.5531391, -71.8630399)",35,279,SJ18
12,21950142,2022-07-14 06:50:26,1,"(-13.5530011, -71.8640848)",34,277,SJ18
13,21950179,2022-07-14 06:50:38,1,"(-13.5528066, -71.8650896)",23,281,SJ18
14,21950230,2022-07-14 06:50:55,1,"(-13.5526325, -71.8658518)",21,283,SJ18
15,21950270,2022-07-14 06:51:07,1,"(-13.5524397, -71.8666734)",31,284,SJ18
16,21950336,2022-07-14 06:51:28,1,"(-13.5522348, -71.8674535)",12,283,SJ18
17,21950406,2022-07-14 06:51:42,1,"(-13.5520697, -71.8682102)",29,284,SJ18
18,21950451,2022-07-14 06:51:54,1,"(-13.5518361, -71.8691865)",34,283,SJ18
19,21950492,2022-07-14 06:52:06,1,"(-13.5515935, -71.8701431)",25,282,SJ18
20,21950531,2022-07-14 06:52:21,1,"(-13.5513695, -71.8710295)",35,282,SJ18
21,21950569,2022-07-14 06:52:33,1,"(-13.5510991, -71.8722318)",40,282,SJ18
22,21950611,2022-07-14 06:52:45,1,"(-13.5507878, -71.8734098)",31,286,SJ18
23,21950646,2022-07-14 06:53:01,1,"(-13.5505618, -71.8741931)",20,286,SJ18
24,21950690,2022-07-14 06:53:13,1,"(-13.5503237, -71.8750523)",35,285,SJ18
25,21950777,2022-07-14 06:53:25,1,"(-13.5499961, -71.8761384)",38,287,SJ18
26,21950828,2022-07-14 06:53:37,1,"(-13.5496456, -71.877316)",43,286,SJ18
27,21950883,2022-07-14 06:53:49,1,"(-13.5492604, -71.8785648)",30,288,SJ18
28,21950960,2022-07-14 06:54:09,1,"(-13.5490582, -71.8792231)",23,285,SJ18
29,21951018,2022-07-14 06:54:21,1,"(-13.5488332, -71.8800355)",27,284,SJ18
30,21951055,2022-07-14 06:54:33,1,"(-13.5486439, -71.8809145)",30,282,SJ18
31,21951100,2022-07-14 06:54:45,1,"(-13.5483836, -71.881882)",36,283,SJ18
32,21951150,2022-07-14 06:54:57,1,"(-13.5481046, -71.8828505)",31,286,SJ18
33,21951163,2022-07-14 06:55:09,1,"(-13.5478824, -71.8836627)",25,287,SJ18
34,21951256,2022-07-14 06:55:35,1,"(-13.5477028, -71.8843664)",22,282,SJ18
35,21951301,2022-07-14 06:55:47,1,"(-13.5475095, -71.8851163)",18,284,SJ18
36,21951367,2022-07-14 06:56:16,1,"(-13.5473341, -71.88578)",19,286,SJ18
37,21951404,2022-07-14 06:56:28,1,"(-13.5471304, -71.8864424)",20,284,SJ18
38,21951479,2022-07-14 06:56:42,1,"(-13.5469573, -71.8871326)",4,282,SJ18
39,21951617,2022-07-14 06:57:02,1,"(-13.546783, -71.8877956)",19,282,SJ18
40,21951747,2022-07-14 06:57:25,1,"(-13.5462081, -71.8878106)",12,6,SJ18
41,21951833,2022-07-14 06:57:49,1,"(-13.5454071, -71.8875498)",13,15,SJ18
42,21951949,2022-07-14 06:58:13,1,"(-13.5445851, -71.8873143)",12,14,SJ18
43,21952166,2022-07-14 06:59:24,1,"(-13.5442572, -71.887798)",7,285,SJ18
44,21952316,2022-07-14 07:00:08,1,"(-13.5444993, -71.8882881)",10,200,SJ18
45,21952437,2022-07-14 07:00:41,1,"(-13.545145, -71.8885088)",18,198,SJ18
46,21952477,2022-07-14 07:00:54,1,"(-13.5457709, -71.8887329)",18,198,SJ18
47,21952658,2022-07-14 07:01:39,1,"(-13.5464887, -71.8889948)",8,226,SJ18
48,21952777,2022-07-14 07:02:12,1,"(-13.5462972, -71.8896662)",21,284,SJ18
49,21952851,2022-07-14 07:02:35,1,"(-13.5460473, -71.8903066)",14,284,SJ18
50,21952890,2022-07-14 07:02:48,1,"(-13.5457954, -71.8911129)",28,285,SJ18
51,21954476,2022-07-14 07:03:36,1,"(-13.5449059, -71.8943818)",21,286,SJ18
52,21953407,2022-07-14 07:03:48,1,"(-13.5445552, -71.8952255)",26,297,SJ18
53,21953410,2022-07-14 07:04:55,1,"(-13.544191, -71.8958789)",10,297,SJ18
54,21953375,2022-07-14 07:05:09,1,"(-13.5437422, -71.8965827)",32,305,SJ18
55,21953412,2022-07-14 07:05:21,1,"(-13.5431676, -71.8973993)",32,305,SJ18
56,21953460,2022-07-14 07:05:33,1,"(-13.5427185, -71.8980124)",27,307,SJ18
57,21953502,2022-07-14 07:05:45,1,"(-13.5420345, -71.8989462)",41,308,SJ18
58,21953592,2022-07-14 07:06:10,1,"(-13.5415132, -71.8996462)",25,306,SJ18
59,21953636,2022-07-14 07:06:22,1,"(-13.5408909, -71.900529)",39,305,SJ18
60,21953689,2022-07-14 07:06:34,1,"(-13.5400461, -71.9016943)",49,306,SJ18
61,21953725,2022-07-14 07:06:46,1,"(-13.5392598, -71.9028289)",48,305,SJ18
62,21953769,2022-07-14 07:06:58,1,"(-13.5382827, -71.9041714)",54,304,SJ18
63,21953809,2022-07-14 07:07:10,1,"(-13.5376275, -71.9051722)",20,304,SJ18
64,21953914,2022-07-14 07:07:37,1,"(-13.537217, -71.9058089)",22,295,SJ18
65,21953980,2022-07-14 07:07:54,1,"(-13.5368155, -71.9064348)",23,306,SJ18
66,21954023,2022-07-14 07:08:06,1,"(-13.5364192, -71.9070328)",23,303,SJ18
67,21954070,2022-07-14 07:08:18,1,"(-13.5359114, -71.9077594)",33,304,SJ18
68,21954114,2022-07-14 07:08:30,1,"(-13.5351855, -71.9089402)",53,300,SJ18
69,21954160,2022-07-14 07:08:42,1,"(-13.5341449, -71.910474)",63,305,SJ18
70,21954318,2022-07-14 07:09:27,1,"(-13.5334298, -71.9114951)",9,299,SJ18
71,21954379,2022-07-14 07:09:42,1,"(-13.5330353, -71.9121984)",29,303,SJ18
72,21954473,2022-07-14 07:09:54,1,"(-13.5324464, -71.9131268)",36,303,SJ18
73,21954478,2022-07-14 07:10:06,1,"(-13.531869, -71.9139941)",25,303,SJ18
74,21954520,2022-07-14 07:10:24,1,"(-13.5315863, -71.9146875)",23,286,SJ18
75,21954581,2022-07-14 07:10:36,1,"(-13.5314848, -71.9157062)",38,268,SJ18
76,21954640,2022-07-14 07:10:55,1,"(-13.5316033, -71.9164966)",24,254,SJ18
77,21954687,2022-07-14 07:11:07,1,"(-13.5318826, -71.9174961)",38,254,SJ18
78,21954742,2022-07-14 07:11:19,1,"(-13.5321488, -71.9187113)",42,258,SJ18
79,21954750,2022-07-14 07:11:31,1,"(-13.5324192, -71.9201387)",40,258,SJ18
80,21954961,2022-07-14 07:12:31,1,"(-13.5325591, -71.9209193)",19,256,SJ18
81,21955008,2022-07-14 07:12:43,1,"(-13.5327401, -71.9218438)",37,260,SJ18
82,21955070,2022-07-14 07:13:03,1,"(-13.5327609, -71.9227286)",23,272,SJ18
83,21955102,2022-07-14 07:13:15,1,"(-13.5325558, -71.9237375)",41,284,SJ18
84,21955145,2022-07-14 07:13:27,1,"(-13.5321716, -71.9251062)",40,286,SJ18
85,21955189,2022-07-14 07:13:39,1,"(-13.5319072, -71.9261535)",38,284,SJ18
86,21955227,2022-07-14 07:13:51,1,"(-13.5315422, -71.9274921)",49,285,SJ18
87,21955250,2022-07-14 07:14:03,1,"(-13.5310881, -71.9289197)",46,286,SJ18
88,21955339,2022-07-14 07:14:28,1,"(-13.5308062, -71.9298214)",13,291,SJ18
89,21955386,2022-07-14 07:14:41,1,"(-13.530602, -71.9306207)",31,286,SJ18
90,21955446,2022-07-14 07:14:53,1,"(-13.5303215, -71.9316097)",25,286,SJ18
91,21955630,2022-07-14 07:15:51,1,"(-13.5301041, -71.9323566)",16,286,SJ18
92,21955684,2022-07-14 07:16:04,1,"(-13.5299139, -71.9331062)",28,283,SJ18
93,21955738,2022-07-14 07:16:16,1,"(-13.529662, -71.9340624)",32,288,SJ18
94,21955833,2022-07-14 07:16:49,1,"(-13.5294222, -71.9348046)",20,285,SJ18
95,21955876,2022-07-14 07:17:01,1,"(-13.5292056, -71.9355696)",28,284,SJ18
96,21955939,2022-07-14 07:17:13,1,"(-13.528922, -71.936525)",38,286,SJ18
97,21955961,2022-07-14 07:17:25,1,"(-13.5286147, -71.9377546)",38,286,SJ18
98,21956027,2022-07-14 07:17:42,1,"(-13.5283878, -71.9385196)",27,288,SJ18
99,21956078,2022-07-14 07:17:54,1,"(-13.5280848, -71.9395453)",30,286,SJ18
100,21956253,2022-07-14 07:18:48,1,"(-13.5279304, -71.9402853)",26,279,SJ18
101,21956297,2022-07-14 07:19:00,1,"(-13.5278074, -71.9413779)",37,274,SJ18
102,21956385,2022-07-14 07:19:12,1,"(-13.5276641, -71.9425152)",34,279,SJ18
103,21956387,2022-07-14 07:19:24,1,"(-13.5275288, -71.9434802)",32,277,SJ18
104,21956406,2022-07-14 07:19:36,1,"(-13.5274197, -71.9445696)",36,276,SJ18
105,21956480,2022-07-14 07:19:58,1,"(-13.5273026, -71.9453904)",19,282,SJ18
106,21956983,2022-07-14 07:20:49,1,"(-13.5267063, -71.9481056)",18,301,SJ18
107,21956985,2022-07-14 07:21:46,1,"(-13.5265358, -71.9487737)",23,284,SJ18
108,21956988,2022-07-14 07:21:58,1,"(-13.5262095, -71.9497388)",38,286,SJ18
109,21956990,2022-07-14 07:22:11,1,"(-13.5258556, -71.9507203)",12,299,SJ18
110,21957043,2022-07-14 07:22:32,1,"(-13.5256775, -71.9514348)",28,288,SJ18
111,21957099,2022-07-14 07:22:44,1,"(-13.5253545, -71.9524728)",34,287,SJ18
