,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id
0,21940203,2022-07-14 05:34:39,0,"(-13.5411564, -71.8784789)",5,8,SJ02
1,21940241,2022-07-14 05:35:25,0,"(-13.5405993, -71.878616)",6,275,SJ02
2,21940305,2022-07-14 05:36:22,0,"(-13.5406595, -71.8793068)",9,261,SJ02
3,21940330,2022-07-14 05:36:48,0,"(-13.5408081, -71.8799623)",10,196,SJ02
4,21940377,2022-07-14 05:37:35,0,"(-13.5416234, -71.8800292)",20,178,SJ02
5,21940393,2022-07-14 05:37:47,0,"(-13.5424688, -71.8800339)",32,187,SJ02
6,21940411,2022-07-14 05:37:59,0,"(-13.5433976, -71.8802756)",26,216,SJ02
7,21940418,2022-07-14 05:38:11,0,"(-13.5442355, -71.8804455)",37,189,SJ02
8,21940437,2022-07-14 05:38:24,0,"(-13.5451562, -71.8805969)",10,193,SJ02
9,21940488,2022-07-14 05:39:04,5,"(-13.5458062, -71.8807043)",19,189,SJ02
10,21940513,2022-07-14 05:39:20,0,"(-13.5465379, -71.8808103)",22,189,SJ02
11,21940532,2022-07-14 05:39:38,0,"(-13.5472088, -71.8809172)",17,189,SJ02
12,21940565,2022-07-14 05:40:01,0,"(-13.5475543, -71.8803354)",27,100,SJ02
13,21940584,2022-07-14 05:40:13,0,"(-13.54771, -71.8794518)",27,97,SJ02
14,21940599,2022-07-14 05:40:31,0,"(-13.5481719, -71.8791916)",20,190,SJ02
15,21940618,2022-07-14 05:40:46,0,"(-13.5488817, -71.8793254)",17,195,SJ02
16,21940669,2022-07-14 05:41:15,0,"(-13.5492555, -71.8788574)",24,105,SJ02
17,21940687,2022-07-14 05:41:27,0,"(-13.5495098, -71.8779655)",35,108,SJ02
18,21940705,2022-07-14 05:41:39,0,"(-13.5498821, -71.876826)",40,107,SJ02
19,21940722,2022-07-14 05:41:51,0,"(-13.5502227, -71.8756451)",39,106,SJ02
20,21940744,2022-07-14 05:42:03,0,"(-13.5505137, -71.8745229)",33,98,SJ02
21,21940758,2022-07-14 05:42:15,0,"(-13.550788, -71.8735688)",35,106,SJ02
22,21940776,2022-07-14 05:42:27,0,"(-13.5510779, -71.8724953)",34,103,SJ02
23,21940798,2022-07-14 05:42:39,0,"(-13.5513143, -71.8714793)",34,103,SJ02
24,21940819,2022-07-14 05:42:51,0,"(-13.5515522, -71.8705457)",21,104,SJ02
25,21940837,2022-07-14 05:43:07,0,"(-13.5517501, -71.8697598)",29,103,SJ02
26,21940854,2022-07-14 05:43:19,0,"(-13.5520155, -71.8686537)",42,103,SJ02
27,21940874,2022-07-14 05:43:31,0,"(-13.5522972, -71.8675258)",21,103,SJ02
28,21940897,2022-07-14 05:43:45,0,"(-13.5524969, -71.8667201)",30,103,SJ02
29,21940918,2022-07-14 05:43:57,0,"(-13.5527307, -71.8657347)",31,103,SJ02
30,21940947,2022-07-14 05:44:18,0,"(-13.5528887, -71.8649549)",18,100,SJ02
31,21940966,2022-07-14 05:44:30,0,"(-13.5530121, -71.8641699)",30,100,SJ02
32,21940987,2022-07-14 05:44:42,0,"(-13.5531693, -71.8631007)",37,98,SJ02
33,21941010,2022-07-14 05:44:54,0,"(-13.5533458, -71.8619878)",32,100,SJ02
34,21941053,2022-07-14 05:45:12,0,"(-13.5534747, -71.8612308)",23,98,SJ02
35,21941070,2022-07-14 05:45:24,0,"(-13.5535978, -71.8602731)",38,98,SJ02
36,21941100,2022-07-14 05:45:36,0,"(-13.5538783, -71.8590541)",40,108,SJ02
