,id,date_time,lap,latitude_longitude,velocity,navigation,vehicle_id_id,stop
62,22032332,2022-07-14 12:57:35,3,"(-13.532826, -71.9223984)",22,267,SJ07,65.0
63,22033675,2022-07-14 13:03:42,3,"(-13.5280811, -71.9396676)",23,288,SJ07,73.0
64,22034589,2022-07-14 13:07:42,3,"(-13.5266888, -71.9483976)",10,283,SJ07,76.0
65,22034744,2022-07-14 13:08:28,3,"(-13.5259994, -71.9505806)",17,291,SJ07,77.0
66,22035064,2022-07-14 13:09:51,3,"(-13.5242957, -71.9559979)",8,290,SJ07,79.0
67,22036189,2022-07-14 13:14:48,3,"(-13.5216939, -71.964722)",23,290,SJ07,82.0
68,22036446,2022-07-14 13:16:00,3,"(-13.5212133, -71.9663882)",17,290,SJ07,83.0
69,22037249,2022-07-14 13:19:35,3,"(-13.5220556, -71.972055)",9,177,SJ07,85.0
70,22038248,2022-07-14 13:24:04,3,"(-13.5250034, -71.9767222)",20,287,SJ07,89.0
71,22042573,2022-07-14 13:43:13,3,"(-13.5394609, -71.9810461)",21,200,SJ07,105.0
72,22042877,2022-07-14 13:44:36,3,"(-13.5420308, -71.9821986)",18,201,SJ07,108.0
73,22043674,2022-07-14 13:47:54,3,"(-13.5460335, -71.9842071)",22,221,SJ07,111.0
74,22075164,2022-07-14 16:12:23,4,"(-13.5294538, -71.9346935)",15,287,SJ07,70.0
75,22083501,2022-07-14 16:48:33,4,"(-13.5307707, -71.9819551)",19,70,SJ07,99.0
