"number","id","name","latitude","longitude","navigation"
127,164,Enaco,-13.53351,-71.911919,125
128,165,Cachimayo,-13.535236,-71.909339,122
129,166,Puente Tupac Amarú,-13.536355,-71.907676,122
130,167,Grifo,-13.536948,-71.906758,122
131,168,Universidad Andina,-13.538342,-71.904645,122
132,169,Teléfono,-13.539324,-71.903183,129
133,170,Tíngo,-13.540735,-71.901238,129
134,171,Maestro,-13.541793,-71.899795,127
135,172,San Martin,-13.542894,-71.898261,124
136,173,Miraflores,-13.544522,-71.89589,115
137,174,Penal Quencoro,-13.545191,-71.8946,115
138,175,San Juan,-13.545887,-71.892087,99
139,176,Control,-13.54596,-71.88995,27
140,177,Mercado,-13.544204,-71.888259,110
141,178,Farmacia,-13.547113,-71.886745,108
142,179,Medio,-13.547502,-71.885346,100
143,180,Tercero,-13.548058,-71.883266,100
144,181,Romeritos,-13.548642,-71.881142,107
145,182,Posta,-13.548908,-71.880073,107
146,183,Tapia,-13.549241,-71.878975,107
147,184,Forestal,-13.549985,-71.876345,107
148,185,Kayra,-13.550608,-71.874402,107
149,186,Puente,-13.551644,-71.870166,105
150,187,Ccollana,-13.552338,-71.867369,101
