WKT,number,id,name,navigation,latitude,longitude,radio
"POINT (-71.9817024 -13.5225528)",57.0,92.0,Centro comercial Paraíso,292.0,-13.5225528,-71.9817024,20.0
"POINT (-71.9827825 -13.5228491)",58.0,93.0,Puente Santiago,227.0,-13.5228491,-71.9827825,13.0
"POINT (-71.983584 -13.525261)",59.0,94.0,Plaza Santiago,200.0,-13.525261,-71.983584,15.0
"POINT (-71.9842073 -13.5268331)",60.0,95.0,Semáforo,200.0,-13.5268331,-71.9842073,10.0
"POINT (-71.9824245 -13.5278679)",61.0,96.0,Entrada Zarzuela,204.0,-13.5278679,-71.9824245,10.0
"POINT (-71.9835893 -13.5280688)",62.0,97.0,Puente Zarzuela,260.0,-13.5280688,-71.9835893,10.0
"POINT (-71.9831598 -13.5295442)",63.0,98.0,Primero de Mayo,163.0,-13.5295442,-71.9831598,10.0
"POINT (-71.9826679 -13.5309783)",64.0,99.0,Pegaso,153.0,-13.5309783,-71.9826679,10.0
"POINT (-71.9815814 -13.5307561)",65.0,100.0,Colegio,71.0,-13.5307561,-71.9815814,10.0
"POINT (-71.9797209 -13.5304123)",66.0,101.0,Esquina,190.0,-13.5304123,-71.9797209,13.0
"POINT (-71.9805916 -13.533118)",67.0,102.0,Desvio,210.0,-13.533118,-71.9805916,10.0
"POINT (-71.9805635 -13.5355367)",68.0,103.0,Colegio,155.0,-13.5355367,-71.9805635,15.0
"POINT (-71.9802783 -13.5362739)",69.0,104.0,Mercado,159.0,-13.5362739,-71.9802783,15.0
"POINT (-71.9803157 -13.5378877)",70.0,105.0,Puerto,206.0,-13.5378877,-71.9803157,12.0
"POINT (-71.9810424 -13.5393589)",71.0,106.0,Gradas,201.0,-13.5393589,-71.9810424,10.0
"POINT (-71.9813228 -13.5401684)",72.0,107.0,Esquina,190.0,-13.5401684,-71.9813228,10.0
"POINT (-71.981506 -13.541008)",73.0,108.0,Salcantay,208.0,-13.541008,-71.981506,10.0
"POINT (-71.9821847 -13.5419566)",74.0,109.0,Puente,201.0,-13.5419566,-71.9821847,10.0
"POINT (-71.981944 -13.5428819)",75.0,110.0,Grifo entrada,198.0,-13.5428819,-71.981944,12.0
"POINT (-71.9820991 -13.5444396)",76.0,111.0,Esquina,170.0,-13.5444396,-71.9820991,10.0
"POINT (-71.984242 -13.546051)",77.0,112.0,Subida,222.0,-13.546051,-71.984242,10.0
"POINT (-71.9849018 -13.5470012)",78.0,113.0,Primero,216.0,-13.5470012,-71.9849018,10.0
"POINT (-71.985248 -13.547528)",79.0,114.0,Segundo,221.0,-13.547528,-71.985248,10.0
"POINT (-71.988003 -13.54966)",80.0,115.0,Reservorio,225.0,-13.54966,-71.988003,10.0
"POINT (-71.98888 -13.550408)",81.0,116.0,Cuarto,230.0,-13.550408,-71.98888,10.0
"POINT (-71.989448 -13.550841)",82.0,117.0,Quinto,203.0,-13.550841,-71.989448,10.0
"POINT (-71.99095 -13.551707)",83.0,118.0,Sexto,53.0,-13.551707,-71.99095,10.0
